state,survey_type,total_kindergarten_population,percent_surveyed,target,footnotes,year,percent_vaccinated,vaccination
Alabama,Census,76927,100.0,95.0,≥. *. **,2013_14,92.0,MMR Vaccination
Alabama,Census,59660,100.0,95.0,≥. *,2014_15,93.5,MMR Vaccination
Alabama,Census,60392,100.0,95.0,≥.*,2015_16,93.1,MMR Vaccination
Alabama,Census,75358,100.0,95.0,≥. *. **,2009_10,94.0,Polio Vaccination
Alabama,"NA","NA","NA",95.0,"NA",2010_11,"NA",Polio Vaccination
Alabama,Census,73190,100.0,95.0,≥. * .**,2011_12,93.6,Polio Vaccination
Alabama,Census,72929,100.0,95.0,≥. * . ‡. **,2012_13,92.8,Polio Vaccination
Alabama,Census,76927,100.0,95.0,≥. *. **,2013_14,92.0,Polio Vaccination
Alabama,Census,59660,100.0,95.0,≥. *,2014_15,93.5,Polio Vaccination
Alabama,Census,60392,100.0,95.0,≥.*,2015_16,93.1,Polio Vaccination
Alaska,Voluntary response,9641,76.4,95.0,NaN,2009_10,"NA",1 dose Varicella Vaccination (unknown disease history)
Alaska,"NA","NA","NA",95.0,"NA",2010_11,"NA",1 dose Varicella Vaccination (unknown disease history)
Alaska,Non-random Cluster Sample,10286,7.3,95.0,NaN,2011_12,"NA",1 dose Varicella Vaccination (unknown disease history)
Alaska,Census,10319,97.8,95.0,NaN,2012_13,"NA",1 dose Varicella Vaccination (unknown disease history)
Alaska,Stratified  2-stage cluster sample,10222,9.3,95.0,†,2013_14,"NA",1 dose Varicella Vaccination (unknown disease history)
Alaska,Stratified 2-stage cluster sample,10129,7.8,95.0,†,2014_15,"NA",1 dose Varicella Vaccination (unknown disease history)
Alaska,Stratified 2-stage cluster sample,9937,7.8,95.0,†.§,2015_16,"NA",1 dose Varicella Vaccination (unknown disease history)
Alaska,Voluntary response,9641,76.4,95.0,NaN,2009_10,"NA",2 doses Varicella Vaccination (unknown disease history)
Alaska,"NA","NA","NA",95.0,"NA",2010_11,"NA",2 doses Varicella Vaccination (unknown disease history)
Alaska,Non-random Cluster Sample,10286,7.3,95.0,NaN,2011_12,"NA",2 doses Varicella Vaccination (unknown disease history)
Alaska,Census,10319,97.8,95.0,NaN,2012_13,"NA",2 doses Varicella Vaccination (unknown disease history)
Alaska,Stratified  2-stage cluster sample,10222,9.3,95.0,†,2013_14,92.5,2 doses Varicella Vaccination (unknown disease history)
Alaska,Stratified 2-stage cluster sample,10129,7.8,95.0,†,2014_15,91.6,2 doses Varicella Vaccination (unknown disease history)
Alaska,Stratified 2-stage cluster sample,9937,7.8,95.0,†.§,2015_16,92.6,2 doses Varicella Vaccination (unknown disease history)
Alaska,Voluntary response,9641,76.4,95.0,NaN,2009_10,"NA",DTP/DTaP/DT Vaccination
Alaska,"NA","NA","NA",95.0,"NA",2010_11,"NA",DTP/DTaP/DT Vaccination
Alaska,Non-random Cluster Sample,10286,7.3,95.0,NaN,2011_12,"NA",DTP/DTaP/DT Vaccination
Alaska,Census,10319,97.8,95.0,NaN,2012_13,"NA",DTP/DTaP/DT Vaccination
Alaska,Stratified  2-stage cluster sample,10222,9.3,95.0,†,2013_14,96.0,DTP/DTaP/DT Vaccination
Alaska,Stratified 2-stage cluster sample,10129,7.8,95.0,†,2014_15,92.7,DTP/DTaP/DT Vaccination
Alaska,Stratified 2-stage cluster sample,9937,7.8,95.0,†.§,2015_16,92.8,DTP/DTaP/DT Vaccination
Alaska,Voluntary response,9641,76.4,95.0,NaN,2009_10,"NA",Hepatitis B Vaccination
Alaska,"NA","NA","NA",95.0,"NA",2010_11,"NA",Hepatitis B Vaccination
Alaska,Non-random Cluster Sample,10286,7.3,95.0,NaN,2011_12,"NA",Hepatitis B Vaccination
Alaska,Census,10319,97.8,95.0,NaN,2012_13,"NA",Hepatitis B Vaccination
Alaska,Stratified  2-stage cluster sample,10222,9.3,95.0,†,2013_14,97.2,Hepatitis B Vaccination
Alaska,Stratified 2-stage cluster sample,10129,7.8,95.0,†,2014_15,94.5,Hepatitis B Vaccination
Alaska,Stratified 2-stage cluster sample,9937,7.8,95.0,†.§,2015_16,95.2,Hepatitis B Vaccination
Alaska,Voluntary response,9641,76.4,95.0,NaN,2009_10,"NA",MMR Vaccination
Alaska,"NA","NA","NA",95.0,"NA",2010_11,"NA",MMR Vaccination
Alaska,Non-random Cluster Sample,10286,7.3,95.0,NaN,2011_12,"NA",MMR Vaccination
Alaska,Census,10319,97.8,95.0,NaN,2012_13,"NA",MMR Vaccination
Alaska,Stratified  2-stage cluster sample,10222,9.3,95.0,†,2013_14,94.4,MMR Vaccination
Alaska,Stratified 2-stage cluster sample,10129,7.8,95.0,†,2014_15,92.7,MMR Vaccination
Alaska,Stratified 2-stage cluster sample,9937,7.8,95.0,†.§,2015_16,93.5,MMR Vaccination
Alaska,Voluntary response,9641,76.4,95.0,NaN,2009_10,"NA",Polio Vaccination
Alaska,"NA","NA","NA",95.0,"NA",2010_11,"NA",Polio Vaccination
Alaska,Non-random Cluster Sample,10286,7.3,95.0,NaN,2011_12,"NA",Polio Vaccination
Alaska,Census,10319,97.8,95.0,NaN,2012_13,"NA",Polio Vaccination
Alaska,Stratified  2-stage cluster sample,10222,9.3,95.0,†,2013_14,97.2,Polio Vaccination
Alaska,Stratified 2-stage cluster sample,10129,7.8,95.0,†,2014_15,94.8,Polio Vaccination
Alaska,Stratified 2-stage cluster sample,9937,7.8,95.0,†.§,2015_16,95.2,Polio Vaccination
Arizona,Census,89287,93.9,95.0,NaN,2009_10,97.5,1 dose Varicella Vaccination (unknown disease history)
Arizona,"NA","NA","NA",95.0,"NA",2010_11,"NA",1 dose Varicella Vaccination (unknown disease history)
Arizona,Census,88293,96.9,95.0,NaN,2011_12,96.9,1 dose Varicella Vaccination (unknown disease history)
Arizona,Census,90054,97.6,95.0,NaN,2012_13,96.8,1 dose Varicella Vaccination (unknown disease history)
Arizona,Census,89606,95.8,95.0,NaN,2013_14,96.4,1 dose Varicella Vaccination (unknown disease history)
Arizona,Census,86153,98.3,95.0,NaN,2014_15,96.6,1 dose Varicella Vaccination (unknown disease history)
Arizona,Census,83088,100.0,95.0,*,2015_16,96.7,1 dose Varicella Vaccination (unknown disease history)
Arizona,Census,89287,93.9,95.0,NaN,2009_10,NReq,2 doses Varicella Vaccination (unknown disease history)
Arizona,"NA","NA","NA",95.0,"NA",2010_11,"NA",2 doses Varicella Vaccination (unknown disease history)
Arizona,Census,88293,96.9,95.0,NaN,2011_12,NReq,2 doses Varicella Vaccination (unknown disease history)
Arizona,Census,90054,97.6,95.0,NaN,2012_13,NReq,2 doses Varicella Vaccination (unknown disease history)
Arizona,Census,89606,95.8,95.0,NaN,2013_14,NReq,2 doses Varicella Vaccination (unknown disease history)
Arizona,Census,86153,98.3,95.0,NaN,2014_15,NReq,2 doses Varicella Vaccination (unknown disease history)
Arizona,Census,83088,100.0,95.0,*,2015_16,NReq,2 doses Varicella Vaccination (unknown disease history)
Arizona,Census,89287,93.9,95.0,NaN,2009_10,95.0,DTP/DTaP/DT Vaccination
Arizona,"NA","NA","NA",95.0,"NA",2010_11,"NA",DTP/DTaP/DT Vaccination
Arizona,Census,88293,96.9,95.0,NaN,2011_12,94.9,DTP/DTaP/DT Vaccination
Arizona,Census,90054,97.6,95.0,NaN,2012_13,94.6,DTP/DTaP/DT Vaccination
Arizona,Census,89606,95.8,95.0,NaN,2013_14,94.3,DTP/DTaP/DT Vaccination
Arizona,Census,86153,98.3,95.0,NaN,2014_15,94.3,DTP/DTaP/DT Vaccination
Arizona,Census,83088,100.0,95.0,*,2015_16,94.2,DTP/DTaP/DT Vaccination
Arizona,Census,89287,93.9,95.0,NaN,2009_10,96.8,Hepatitis B Vaccination
Arizona,"NA","NA","NA",95.0,"NA",2010_11,"NA",Hepatitis B Vaccination
Arizona,Census,88293,96.9,95.0,NaN,2011_12,96.3,Hepatitis B Vaccination
Arizona,Census,90054,97.6,95.0,NaN,2012_13,95.9,Hepatitis B Vaccination
Arizona,Census,89606,95.8,95.0,NaN,2013_14,95.9,Hepatitis B Vaccination
Arizona,Census,86153,98.3,95.0,NaN,2014_15,95.7,Hepatitis B Vaccination
Arizona,Census,83088,100.0,95.0,*,2015_16,95.5,Hepatitis B Vaccination
Arizona,Census,89287,93.9,95.0,NaN,2009_10,95.0,MMR Vaccination
Arizona,"NA","NA","NA",95.0,"NA",2010_11,"NA",MMR Vaccination
Arizona,Census,88293,96.9,95.0,NaN,2011_12,94.7,MMR Vaccination
Arizona,Census,90054,97.6,95.0,NaN,2012_13,94.5,MMR Vaccination
Arizona,Census,89606,95.8,95.0,NaN,2013_14,93.9,MMR Vaccination
Arizona,Census,86153,98.3,95.0,NaN,2014_15,94.2,MMR Vaccination
Arizona,Census,83088,100.0,95.0,*,2015_16,94.2,MMR Vaccination
Arizona,Census,89287,93.9,95.0,NaN,2009_10,95.5,Polio Vaccination
Arizona,"NA","NA","NA",95.0,"NA",2010_11,"NA",Polio Vaccination
Arizona,Census,88293,96.9,95.0,NaN,2011_12,94.9,Polio Vaccination
Arizona,Census,90054,97.6,95.0,NaN,2012_13,94.7,Polio Vaccination
Arizona,Census,89606,95.8,95.0,NaN,2013_14,94.7,Polio Vaccination
Arizona,Census,86153,98.3,95.0,NaN,2014_15,94.7,Polio Vaccination
Arizona,Census,83088,100.0,95.0,*,2015_16,94.6,Polio Vaccination
Arkansas,Census,34733,100.0,95.0,*,2009_10,98.3,1 dose Varicella Vaccination (unknown disease history)
Arkansas,"NA","NA","NA",95.0,"NA",2010_11,"NA",1 dose Varicella Vaccination (unknown disease history)
Arkansas,Census,38754,92.2,95.0,NaN,2011_12,"NA",1 dose Varicella Vaccination (unknown disease history)
Arkansas,Census,43212,96.3,95.0,‡,2012_13,"NA",1 dose Varicella Vaccination (unknown disease history)
Arkansas,Census,42649,96.3,95.0,NaN,2013_14,"NA",1 dose Varicella Vaccination (unknown disease history)
Arkansas,Census (public); Voluntary response (private),41252,95.9,95.0,‡,2014_15,"NA",1 dose Varicella Vaccination (unknown disease history)
Arkansas,Census (public); Voluntary response (private),40258,95.6,95.0,‡,2015_16,"NA",1 dose Varicella Vaccination (unknown disease history)
Arkansas,Census,34733,100.0,95.0,*,2009_10,NReq,2 doses Varicella Vaccination (unknown disease history)
Arkansas,"NA","NA","NA",95.0,"NA",2010_11,"NA",2 doses Varicella Vaccination (unknown disease history)
Arkansas,Census,38754,92.2,95.0,NaN,2011_12,95.4,2 doses Varicella Vaccination (unknown disease history)
Arkansas,Census,43212,96.3,95.0,‡,2012_13,84.8,2 doses Varicella Vaccination (unknown disease history)
Arkansas,Census,42649,96.3,95.0,NaN,2013_14,85.4,2 doses Varicella Vaccination (unknown disease history)
Arkansas,Census (public); Voluntary response (private),41252,95.9,95.0,‡,2014_15,88.0,2 doses Varicella Vaccination (unknown disease history)
Arkansas,Census (public); Voluntary response (private),40258,95.6,95.0,‡,2015_16,90.6,2 doses Varicella Vaccination (unknown disease history)
Arkansas,Census,34733,100.0,95.0,*,2009_10,97.5,DTP/DTaP/DT Vaccination
Arkansas,"NA","NA","NA",95.0,"NA",2010_11,"NA",DTP/DTaP/DT Vaccination
Arkansas,Census,38754,92.2,95.0,NaN,2011_12,84.1,DTP/DTaP/DT Vaccination
Arkansas,Census,43212,96.3,95.0,‡,2012_13,82.9,DTP/DTaP/DT Vaccination
Arkansas,Census,42649,96.3,95.0,NaN,2013_14,83.3,DTP/DTaP/DT Vaccination
Arkansas,Census (public); Voluntary response (private),41252,95.9,95.0,‡,2014_15,85.6,DTP/DTaP/DT Vaccination
Arkansas,Census (public); Voluntary response (private),40258,95.6,95.0,‡,2015_16,88.2,DTP/DTaP/DT Vaccination
Arkansas,Census,34733,100.0,95.0,*,2009_10,98.5,Hepatitis B Vaccination
Arkansas,"NA","NA","NA",95.0,"NA",2010_11,"NA",Hepatitis B Vaccination
Arkansas,Census,38754,92.2,95.0,NaN,2011_12,98.1,Hepatitis B Vaccination
Arkansas,Census,43212,96.3,95.0,‡,2012_13,87.4,Hepatitis B Vaccination
Arkansas,Census,42649,96.3,95.0,NaN,2013_14,88.4,Hepatitis B Vaccination
Arkansas,Census (public); Voluntary response (private),41252,95.9,95.0,‡,2014_15,90.2,Hepatitis B Vaccination
Arkansas,Census (public); Voluntary response (private),40258,95.6,95.0,‡,2015_16,92.4,Hepatitis B Vaccination
Arkansas,Census,34733,100.0,95.0,*,2009_10,98.3,MMR Vaccination
Arkansas,"NA","NA","NA",95.0,"NA",2010_11,"NA",MMR Vaccination
Arkansas,Census,38754,92.2,95.0,NaN,2011_12,94.9,MMR Vaccination
Arkansas,Census,43212,96.3,95.0,‡,2012_13,85.9,MMR Vaccination
Arkansas,Census,42649,96.3,95.0,NaN,2013_14,86.5,MMR Vaccination
Arkansas,Census (public); Voluntary response (private),41252,95.9,95.0,‡,2014_15,88.4,MMR Vaccination
Arkansas,Census (public); Voluntary response (private),40258,95.6,95.0,‡,2015_16,90.8,MMR Vaccination
Arkansas,Census,34733,100.0,95.0,*,2009_10,98.0,Polio Vaccination
Arkansas,"NA","NA","NA",95.0,"NA",2010_11,"NA",Polio Vaccination
Arkansas,Census,38754,92.2,95.0,NaN,2011_12,84.3,Polio Vaccination
Arkansas,Census,43212,96.3,95.0,‡,2012_13,81.1,Polio Vaccination
Arkansas,Census,42649,96.3,95.0,NaN,2013_14,80.2,Polio Vaccination
Arkansas,Census (public); Voluntary response (private),41252,95.9,95.0,‡,2014_15,84.5,Polio Vaccination
Arkansas,Census (public); Voluntary response (private),40258,95.6,95.0,‡,2015_16,88.1,Polio Vaccination
California,Census,507191,100.0,95.0,*,2009_10,96.6,1 dose Varicella Vaccination (unknown disease history)
California,"NA","NA","NA",95.0,"NA",2010_11,"NA",1 dose Varicella Vaccination (unknown disease history)
California,Census,542544,97.6,95.0,NaN,2011_12,96.1,1 dose Varicella Vaccination (unknown disease history)
California,Census,535523,99.0,95.0,‡,2012_13,95.6,1 dose Varicella Vaccination (unknown disease history)
California,Census,548606,97.3,95.0,‡,2013_14,95.3,1 dose Varicella Vaccination (unknown disease history)
California,Census,552583,96.9,95.0,‡,2014_15,95.5,1 dose Varicella Vaccination (unknown disease history)
California,Census,593788,92.8,95.0,‡,2015_16,96.3,1 dose Varicella Vaccination (unknown disease history)
California,Census,507191,100.0,95.0,*,2009_10,NReq,2 doses Varicella Vaccination (unknown disease history)
California,"NA","NA","NA",95.0,"NA",2010_11,"NA",2 doses Varicella Vaccination (unknown disease history)
California,Census,542544,97.6,95.0,NaN,2011_12,NReq,2 doses Varicella Vaccination (unknown disease history)
California,Census,535523,99.0,95.0,‡,2012_13,NReq,2 doses Varicella Vaccination (unknown disease history)
California,Census,548606,97.3,95.0,‡,2013_14,NReq,2 doses Varicella Vaccination (unknown disease history)
California,Census,552583,96.9,95.0,‡,2014_15,NReq,2 doses Varicella Vaccination (unknown disease history)
California,Census,593788,92.8,95.0,‡,2015_16,NReq,2 doses Varicella Vaccination (unknown disease history)
California,Census,507191,100.0,95.0,*,2009_10,93.1,DTP/DTaP/DT Vaccination
California,"NA","NA","NA",95.0,"NA",2010_11,"NA",DTP/DTaP/DT Vaccination
California,Census,542544,97.6,95.0,NaN,2011_12,93.0,DTP/DTaP/DT Vaccination
California,Census,535523,99.0,95.0,‡,2012_13,92.5,DTP/DTaP/DT Vaccination
California,Census,548606,97.3,95.0,‡,2013_14,92.2,DTP/DTaP/DT Vaccination
California,Census,552583,96.9,95.0,‡,2014_15,92.4,DTP/DTaP/DT Vaccination
California,Census,593788,92.8,95.0,‡,2015_16,94.2,DTP/DTaP/DT Vaccination
California,Census,507191,100.0,95.0,*,2009_10,96.1,Hepatitis B Vaccination
California,"NA","NA","NA",95.0,"NA",2010_11,"NA",Hepatitis B Vaccination
California,Census,542544,97.6,95.0,NaN,2011_12,95.7,Hepatitis B Vaccination
California,Census,535523,99.0,95.0,‡,2012_13,95.2,Hepatitis B Vaccination
California,Census,548606,97.3,95.0,‡,2013_14,94.8,Hepatitis B Vaccination
California,Census,552583,96.9,95.0,‡,2014_15,94.9,Hepatitis B Vaccination
California,Census,593788,92.8,95.0,‡,2015_16,95.8,Hepatitis B Vaccination
California,Census,507191,100.0,95.0,*,2009_10,93.6,MMR Vaccination
California,"NA","NA","NA",95.0,"NA",2010_11,"NA",MMR Vaccination
California,Census,542544,97.6,95.0,NaN,2011_12,93.2,MMR Vaccination
California,Census,535523,99.0,95.0,‡,2012_13,92.7,MMR Vaccination
California,Census,548606,97.3,95.0,‡,2013_14,92.3,MMR Vaccination
California,Census,552583,96.9,95.0,‡,2014_15,92.6,MMR Vaccination
California,Census,593788,92.8,95.0,‡,2015_16,94.5,MMR Vaccination
California,Census,507191,100.0,95.0,*,2009_10,93.6,Polio Vaccination
California,"NA","NA","NA",95.0,"NA",2010_11,"NA",Polio Vaccination
California,Census,542544,97.6,95.0,NaN,2011_12,93.2,Polio Vaccination
California,Census,535523,99.0,95.0,‡,2012_13,92.6,Polio Vaccination
California,Census,548606,97.3,95.0,‡,2013_14,92.6,Polio Vaccination
California,Census,552583,96.9,95.0,‡,2014_15,93.0,Polio Vaccination
California,Census,593788,92.8,95.0,‡,2015_16,94.7,Polio Vaccination
Colorado,Not conducted,"NA","NA",95.0,NaN,2009_10,"NA",1 dose Varicella Vaccination (unknown disease history)
Colorado,"NA","NA","NA",95.0,"NA",2010_11,"NA",1 dose Varicella Vaccination (unknown disease history)
Colorado,Simple Random Sample,70142,0.5,95.0,NaN,2011_12,"NA",1 dose Varicella Vaccination (unknown disease history)
Colorado,Simple Random Sample,70657,0.5,95.0,NaN,2012_13,"NA",1 dose Varicella Vaccination (unknown disease history)
Colorado,Random Sample,69904,0.5,95.0,NaN,2013_14,"NA",1 dose Varicella Vaccination (unknown disease history)
Colorado,Simple random sample,70597,0.5,95.0,NaN,2014_15,"NA",1 dose Varicella Vaccination (unknown disease history)
Colorado,Simple random sample,69137,0.5,95.0,NaN,2015_16,"NA",1 dose Varicella Vaccination (unknown disease history)
Colorado,Not conducted,"NA","NA",95.0,NaN,2009_10,"NA",2 doses Varicella Vaccination (unknown disease history)
Colorado,"NA","NA","NA",95.0,"NA",2010_11,"NA",2 doses Varicella Vaccination (unknown disease history)
Colorado,Simple Random Sample,70142,0.5,95.0,NaN,2011_12,84.0,2 doses Varicella Vaccination (unknown disease history)
Colorado,Simple Random Sample,70657,0.5,95.0,NaN,2012_13,84.6,2 doses Varicella Vaccination (unknown disease history)
Colorado,Random Sample,69904,0.5,95.0,NaN,2013_14,81.7,2 doses Varicella Vaccination (unknown disease history)
Colorado,Simple random sample,70597,0.5,95.0,NaN,2014_15,85.4,2 doses Varicella Vaccination (unknown disease history)
Colorado,Simple random sample,69137,0.5,95.0,NaN,2015_16,85.7,2 doses Varicella Vaccination (unknown disease history)
Colorado,Not conducted,"NA","NA",95.0,NaN,2009_10,"NA",DTP/DTaP/DT Vaccination
Colorado,"NA","NA","NA",95.0,"NA",2010_11,"NA",DTP/DTaP/DT Vaccination
Colorado,Simple Random Sample,70142,0.5,95.0,NaN,2011_12,85.5,DTP/DTaP/DT Vaccination
Colorado,Simple Random Sample,70657,0.5,95.0,NaN,2012_13,82.9,DTP/DTaP/DT Vaccination
Colorado,Random Sample,69904,0.5,95.0,NaN,2013_14,80.9,DTP/DTaP/DT Vaccination
Colorado,Simple random sample,70597,0.5,95.0,NaN,2014_15,84.3,DTP/DTaP/DT Vaccination
Colorado,Simple random sample,69137,0.5,95.0,NaN,2015_16,86.6,DTP/DTaP/DT Vaccination
Colorado,Not conducted,"NA","NA",95.0,NaN,2009_10,"NA",Hepatitis B Vaccination
Colorado,"NA","NA","NA",95.0,"NA",2010_11,"NA",Hepatitis B Vaccination
Colorado,Simple Random Sample,70142,0.5,95.0,NaN,2011_12,93.1,Hepatitis B Vaccination
Colorado,Simple Random Sample,70657,0.5,95.0,NaN,2012_13,94.3,Hepatitis B Vaccination
Colorado,Random Sample,69904,0.5,95.0,NaN,2013_14,79.4,Hepatitis B Vaccination
Colorado,Simple random sample,70597,0.5,95.0,NaN,2014_15,86.9,Hepatitis B Vaccination
Colorado,Simple random sample,69137,0.5,95.0,NaN,2015_16,90.3,Hepatitis B Vaccination
Colorado,Not conducted,"NA","NA",95.0,NaN,2009_10,"NA",MMR Vaccination
Colorado,"NA","NA","NA",95.0,"NA",2010_11,"NA",MMR Vaccination
Colorado,Simple Random Sample,70142,0.5,95.0,NaN,2011_12,86.8,MMR Vaccination
Colorado,Simple Random Sample,70657,0.5,95.0,NaN,2012_13,85.7,MMR Vaccination
Colorado,Random Sample,69904,0.5,95.0,NaN,2013_14,81.7,MMR Vaccination
Colorado,Simple random sample,70597,0.5,95.0,NaN,2014_15,86.9,MMR Vaccination
Colorado,Simple random sample,69137,0.5,95.0,NaN,2015_16,87.1,MMR Vaccination
Colorado,Not conducted,"NA","NA",95.0,NaN,2009_10,"NA",Polio Vaccination
Colorado,"NA","NA","NA",95.0,"NA",2010_11,"NA",Polio Vaccination
Colorado,Simple Random Sample,70142,0.5,95.0,NaN,2011_12,87.4,Polio Vaccination
Colorado,Simple Random Sample,70657,0.5,95.0,NaN,2012_13,88.6,Polio Vaccination
Colorado,Random Sample,69904,0.5,95.0,NaN,2013_14,78.3,Polio Vaccination
Colorado,Simple random sample,70597,0.5,95.0,NaN,2014_15,81.4,Polio Vaccination
Colorado,Simple random sample,69137,0.5,95.0,NaN,2015_16,82.3,Polio Vaccination
Connecticut,Census,46158,100.0,95.0,*,2009_10,98.4,1 dose Varicella Vaccination (unknown disease history)
Connecticut,"NA","NA","NA",95.0,"NA",2010_11,"NA",1 dose Varicella Vaccination (unknown disease history)
Connecticut,Census,45695,100.0,95.0,*,2011_12,"NA",1 dose Varicella Vaccination (unknown disease history)
Connecticut,Census,41604,100.0,95.0,*,2012_13,"NA",1 dose Varicella Vaccination (unknown disease history)
Connecticut,Census,40978,100.0,95.0,*,2013_14,"NA",1 dose Varicella Vaccination (unknown disease history)
Connecticut,Census,39948,100.0,95.0,*,2014_15,"NA",1 dose Varicella Vaccination (unknown disease history)
Connecticut,Census,39533,100.0,95.0,*,2015_16,"NA",1 dose Varicella Vaccination (unknown disease history)
Connecticut,Census,46158,100.0,95.0,*,2009_10,NReq,2 doses Varicella Vaccination (unknown disease history)
Connecticut,"NA","NA","NA",95.0,"NA",2010_11,"NA",2 doses Varicella Vaccination (unknown disease history)
Connecticut,Census,45695,100.0,95.0,*,2011_12,97.1,2 doses Varicella Vaccination (unknown disease history)
Connecticut,Census,41604,100.0,95.0,*,2012_13,96.8,2 doses Varicella Vaccination (unknown disease history)
Connecticut,Census,40978,100.0,95.0,*,2013_14,96.7,2 doses Varicella Vaccination (unknown disease history)
Connecticut,Census,39948,100.0,95.0,*,2014_15,96.8,2 doses Varicella Vaccination (unknown disease history)
Connecticut,Census,39533,100.0,95.0,*,2015_16,96.6,2 doses Varicella Vaccination (unknown disease history)
Connecticut,Census,46158,100.0,95.0,*,2009_10,98.5,DTP/DTaP/DT Vaccination
Connecticut,"NA","NA","NA",95.0,"NA",2010_11,"NA",DTP/DTaP/DT Vaccination
Connecticut,Census,45695,100.0,95.0,*,2011_12,97.8,DTP/DTaP/DT Vaccination
Connecticut,Census,41604,100.0,95.0,*,2012_13,97.2,DTP/DTaP/DT Vaccination
Connecticut,Census,40978,100.0,95.0,*,2013_14,97.0,DTP/DTaP/DT Vaccination
Connecticut,Census,39948,100.0,95.0,*,2014_15,97.0,DTP/DTaP/DT Vaccination
Connecticut,Census,39533,100.0,95.0,*,2015_16,97.0,DTP/DTaP/DT Vaccination
Connecticut,Census,46158,100.0,95.0,*,2009_10,98.4,Hepatitis B Vaccination
Connecticut,"NA","NA","NA",95.0,"NA",2010_11,"NA",Hepatitis B Vaccination
Connecticut,Census,45695,100.0,95.0,*,2011_12,98.0,Hepatitis B Vaccination
Connecticut,Census,41604,100.0,95.0,*,2012_13,97.4,Hepatitis B Vaccination
Connecticut,Census,40978,100.0,95.0,*,2013_14,98.9,Hepatitis B Vaccination
Connecticut,Census,39948,100.0,95.0,*,2014_15,97.0,Hepatitis B Vaccination
Connecticut,Census,39533,100.0,95.0,*,2015_16,97.4,Hepatitis B Vaccination
Connecticut,Census,46158,100.0,95.0,*,2009_10,98.5,MMR Vaccination
Connecticut,"NA","NA","NA",95.0,"NA",2010_11,"NA",MMR Vaccination
